"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","49.6","14.8","11.6","18.3","2.8","1.0","321.7","5048.7","121.2"
"Denver Broncos","","59.6","13.3","8.3","12.3","2.4","0.5","319.6","4845.2","118.1"
"Pittsburgh Steelers","","45.9","13.6","12.8","18.8","2.4","0.0","347.4","5438.0","113.4"
"Minnesota Vikings","","49.3","12.6","12.1","18.1","2.3","0.0","361.1","5293.9","112.6"
"Seattle Seahawks","","46.5","13.6","8.4","13.6","3.2","0.5","314.0","5116.9","110.9"
"Los Angeles Chargers","","48.6","15.3","8.3","12.6","2.0","0.0","366.9","5471.3","107.7"
"Los Angeles Rams","","46.5","13.4","9.5","14.5","2.4","0.5","347.1","5241.2","107.5"
"Detroit Lions","","48.0","13.4","9.3","14.4","2.2","0.5","374.9","5462.5","107.5"
"Buffalo Bills","","42.8","14.6","9.6","12.7","2.4","0.5","393.0","5737.6","106.7"
"Philadelphia Eagles","","42.4","13.0","10.0","14.4","2.4","0.0","323.2","5260.8","102.8"
"Baltimore Ravens","","46.0","13.1","9.3","14.1","2.0","0.0","355.9","5259.2","102.5"
"Atlanta Falcons","","46.0","12.6","8.2","12.8","2.3","0.5","415.2","5600.1","102.3"
"Chicago Bears","","39.8","14.0","10.9","16.5","2.1","0.0","385.8","5918.5","102.3"
"Cleveland Browns","","46.6","12.1","8.6","12.8","2.2","0.0","389.7","5235.9","101.6"
"New Orleans Saints","","44.8","12.5","8.8","12.8","2.3","0.0","398.7","5479.3","101.3"
"Cincinnati Bengals","","41.2","13.1","9.8","13.4","2.1","0.0","412.1","5809.2","99.8"
"Jacksonville Jaguars","","37.1","13.9","9.3","13.7","2.6","0.0","386.7","5490.7","99.0"
"New England Patriots","","40.7","11.6","8.9","12.5","2.6","0.5","356.0","5267.2","98.2"
"Tampa Bay Buccaneers","","41.0","11.7","10.0","13.4","2.0","0.5","392.8","5602.5","97.2"
"Tennessee Titans","","44.9","10.0","8.5","13.0","2.1","0.5","462.9","5951.0","95.7"
"Green Bay Packers","","40.5","11.9","9.7","13.5","1.9","0.0","366.6","5515.5","95.3"
"Washington Commanders","","43.8","9.7","8.9","13.5","2.1","0.5","439.9","6138.5","94.6"
"Indianapolis Colts","","39.4","12.9","8.7","12.3","1.9","0.0","393.7","5511.0","94.4"
"Kansas City Chiefs","","42.1","12.0","8.0","12.3","1.9","0.0","349.6","5400.2","93.3"
"New York Giants","","40.7","10.8","8.8","12.9","2.0","0.0","417.9","6046.9","92.1"
"Dallas Cowboys","","41.9","10.4","8.5","13.3","1.9","0.0","442.6","6084.8","90.9"
"Miami Dolphins","","42.5","10.1","9.1","13.8","1.6","0.0","450.8","6089.1","90.7"
"Las Vegas Raiders","","40.7","10.2","8.7","14.0","1.8","0.5","436.2","5730.5","90.5"
"Arizona Cardinals","","35.8","11.8","9.3","14.0","1.9","0.5","466.2","6152.1","90.4"
"San Francisco 49ers","","36.0","11.1","9.3","15.3","1.9","0.0","395.3","5643.6","88.1"
"Carolina Panthers","","38.1","11.6","7.1","10.6","1.8","0.0","403.1","5808.5","86.4"
"New York Jets","","37.4","10.3","7.7","12.2","1.9","0.5","432.8","5661.5","86.0"
""
""
