name,position,team,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Bijan Robinson,RB,ATL,0,0,0,0,0,287,1373,8,75,712,3,98,0,0,0,0,0,0,0,353.3
Jahmyr Gibbs,RB,DET,0,0,0,0,0,274,1329,14,68,547,3,86,0,0,0,0,0,0,0,359
Puka Nacua,WR,LAR,0,0,0,0,0,16,106,1,123,1590,10,174,0,0,0,0,0,0,0,356.9
Ja'Marr Chase,WR,CIN,0,0,0,0,0,4,21,0,119,1506,11,172,0,0,0,0,0,0,0,336
Jaxon Smith-Njigba,WR,SEA,0,0,0,0,0,5,25,0,117,1569,9,166,0,0,0,0,0,0,0,326.5
Christian McCaffrey,RB,SF,0,0,0,0,0,279,1149,10,80,695,5,100,0,0,0,0,0,0,0,351.6
Jonathan Taylor,RB,IND,0,0,0,0,0,327,1508,12,47,346,1,58,0,0,0,0,0,0,0,308.3
Amon-Ra St. Brown,WR,DET,0,0,0,0,0,2,13,0,118,1430,10,167,0,0,0,0,0,0,0,324.5
CeeDee Lamb,WR,DAL,0,0,0,0,0,2,13,0,104,1382,9,158,0,0,0,0,0,0,0,295
De'Von Achane,RB,MIA,0,0,0,0,0,260,1315,5,66,513,3,82,0,0,0,0,0,0,0,295.4
Justin Jefferson,WR,MIN,0,0,0,0,0,2,11,0,111,1375,7,166,0,0,0,0,0,0,0,293.4
Jeremiyah Love,RB,ARI,0,0,0,0,0,255,1129,7,65,490,2,86,0,0,0,0,0,0,0,278.8
Rashee Rice,WR,KC,0,0,0,0,0,8,43,1,103,1228,10,147,0,0,0,0,0,0,0,289.8
Drake London,WR,ATL,0,0,0,0,0,0,0,0,102,1258,7,159,0,0,0,0,0,0,0,270.8
James Cook III,RB,BUF,0,0,0,0,0,300,1400,11,36,302,2,46,0,0,0,0,0,0,0,279.4
Trey McBride,TE,ARI,0,0,0,0,0,0,0,0,112,1068,6,155,0,0,0,0,0,0,0,251.7
Ashton Jeanty,RB,LV,0,0,0,0,0,281,1136,7,65,494,2,87,0,0,0,0,0,0,0,281.3
Omarion Hampton,RB,LAC,0,0,0,0,0,270,1153,10,56,393,2,69,0,0,0,0,0,0,0,278.7
Saquon Barkley,RB,PHI,0,0,0,0,0,300,1284,9,43,370,2,59,0,0,0,0,0,0,0,272.9
Derrick Henry,RB,BAL,0,0,0,0,0,317,1479,13,21,210,1,28,0,0,0,0,0,0,0,273.7
Josh Jacobs,RB,GB,0,0,0,0,0,300,1237,13,36,281,2,47,0,0,0,0,0,0,0,273.5
Chase Brown,RB,CIN,0,0,0,0,0,240,1044,7,64,434,3,80,0,0,0,0,0,0,0,272
Breece Hall,RB,NYJ,0,0,0,0,0,264,1161,8,52,436,3,64,0,0,0,0,0,0,0,272.7
Brock Bowers,TE,LV,0,0,0,0,0,4,16,0,98,995,7,135,0,0,0,0,0,0,0,240.2
Nico Collins,WR,HOU,0,0,0,0,0,2,12,0,87,1212,7,137,0,0,0,0,0,0,0,249.5
Garrett Wilson,WR,NYJ,0,0,0,0,0,2,11,0,103,1214,5,154,0,0,0,0,0,0,0,257.4
Malik Nabers,WR,NYG,0,0,0,0,0,4,23,0,90,1178,8,142,0,0,0,0,0,0,0,255.7
A.J. Brown,WR,PHI,0,0,0,0,0,0,0,0,86,1216,7,130,0,0,0,0,0,0,0,248.5
Chris Olave,WR,NO,0,0,0,0,0,0,0,0,90,1162,6,142,0,0,0,0,0,0,0,244.7
Kenneth Walker III,RB,KC,0,0,0,0,0,276,1234,9,48,373,2,60,0,0,0,0,0,0,0,271.1
Javonte Williams,RB,DAL,0,0,0,0,0,288,1257,11,37,219,2,51,0,0,0,0,0,0,0,259.2
George Pickens,WR,DAL,0,0,0,0,0,0,0,0,80,1116,8,125,0,0,0,0,0,0,0,239.6
Tetairoa McMillan,WR,CAR,0,0,0,0,0,0,0,0,83,1190,6,140,0,0,0,0,0,0,0,238.5
Zay Flowers,WR,BAL,0,0,0,0,0,10,57,0,82,1172,5,117,0,0,0,0,0,0,0,238.8
DeVonta Smith,WR,PHI,0,0,0,0,0,0,0,0,90,1127,6,128,0,0,0,0,0,0,0,238.3
Josh Allen,QB,BUF,340,509,3945,26,12,116,579,12,0,0,0,0,0,0,0,0,0,0,0,369.1
Kyren Williams,RB,LAR,0,0,0,0,0,250,1134,11,33,224,2,45,0,0,0,0,0,0,0,242
Travis Etienne Jr.,RB,NO,0,0,0,0,0,258,1118,6,45,376,2,60,0,0,0,0,0,0,0,241.6
Cam Skattebo,RB,NYG,0,0,0,0,0,250,1049,7,49,363,2,61,0,0,0,0,0,0,0,241.9
Quinshon Judkins,RB,CLE,0,0,0,0,0,316,1240,7,32,221,1,41,0,0,0,0,0,0,0,225.1
Bucky Irving,RB,TB,0,0,0,0,0,262,1062,6,39,314,2,48,0,0,0,0,0,0,0,222.1
Davante Adams,WR,LAR,0,0,0,0,0,0,0,0,68,1016,11,124,0,0,0,0,0,0,0,232.9
Terry McLaurin,WR,WSH,0,0,0,0,0,0,0,0,81,1043,6,119,0,0,0,0,0,0,0,219.3
Tee Higgins,WR,CIN,0,0,0,0,0,0,0,0,73,955,8,114,0,0,0,0,0,0,0,218.2
Ladd McConkey,WR,LAC,0,0,0,0,0,0,0,0,80,1033,6,122,0,0,0,0,0,0,0,219.9
Emeka Egbuka,WR,TB,0,0,0,0,0,2,12,0,64,1028,7,117,0,0,0,0,0,0,0,209.5
Jaylen Waddle,WR,DEN,0,0,0,0,0,2,12,0,77,991,6,119,0,0,0,0,0,0,0,213.1
Jameson Williams,WR,DET,0,0,0,0,0,7,45,1,64,1029,6,102,0,0,0,0,0,0,0,208.8
Colston Loveland,TE,CHI,0,0,0,0,0,0,0,0,80,898,6,118,0,0,0,0,0,0,0,205.9
