name,position,team,injury_status,pass_comp,pass_att,pass_yds,pass_td,int,rush_car,rush_yds,rush_td,rec,rec_yds,rec_td,tar,tackles,sacks,forced_fumbles,fum_rec,def_int,int_td,fum_td,espn_fpts
Bijan Robinson,RB,ATL,,0,0,0,0,0,286.7,1372.6,8.4,75.4,712.4,3.4,98.5,0,0,0,0,0,0,0,353.3
Jahmyr Gibbs,RB,DET,,0,0,0,0,0,274.1,1329.1,14.2,67.8,546.6,3.4,86,0,0,0,0,0,0,0,359
Puka Nacua,WR,LAR,,0,0,0,0,0,15.9,105.8,1.2,122.9,1590.3,9.8,174.2,0,0,0,0,0,0,0,356.9
Ja'Marr Chase,WR,CIN,,0,0,0,0,0,4.1,21,0.1,119.5,1506.4,10.6,171.7,0,0,0,0,0,0,0,336
Christian McCaffrey,RB,SF,,0,0,0,0,0,278.6,1149.3,9.6,80.4,695.3,5,100.1,0,0,0,0,0,0,0,351.6
Jaxon Smith-Njigba,WR,SEA,,0,0,0,0,0,4.6,25.1,0.2,116.8,1568.7,8.5,166.5,0,0,0,0,0,0,0,326.5
Amon-Ra St. Brown,WR,DET,,0,0,0,0,0,2.3,13.5,0.1,118,1429.9,10.4,166.7,0,0,0,0,0,0,0,324.5
Jonathan Taylor,RB,IND,,0,0,0,0,0,326.7,1508.1,11.6,47.4,346.2,1.3,57.7,0,0,0,0,0,0,0,308.3
De'Von Achane,RB,MIA,Q,0,0,0,0,0,259.8,1315.3,5.1,65.8,512.8,2.9,81.9,0,0,0,0,0,0,0,295.4
CeeDee Lamb,WR,DAL,,0,0,0,0,0,2.2,12.6,0.1,104.1,1381.8,8.6,158.5,0,0,0,0,0,0,0,295
Ashton Jeanty,RB,LV,,0,0,0,0,0,281,1136.2,7.1,64.9,494.2,2,86.7,0,0,0,0,0,0,0,281.3
Justin Jefferson,WR,MIN,,0,0,0,0,0,2,10.6,0.1,110.8,1375,7.3,166.1,0,0,0,0,0,0,0,293.4
James Cook III,RB,BUF,,0,0,0,0,0,300,1399.9,11,35.9,302,1.6,46,0,0,0,0,0,0,0,279.4
Jeremiyah Love,RB,ARI,,0,0,0,0,0,254.8,1129,6.7,65.1,489.6,2.2,86,0,0,0,0,0,0,0,278.8
Drake London,WR,ATL,,0,0,0,0,0,0,0,0,101.6,1258,7.4,158.7,0,0,0,0,0,0,0,270.8
Saquon Barkley,RB,PHI,,0,0,0,0,0,300.1,1283.6,8.7,43.2,370.3,2.3,59.1,0,0,0,0,0,0,0,272.9
Rashee Rice,WR,KC,Q,0,0,0,0,0,8.2,42.6,0.6,103.3,1227.6,9.6,146.8,0,0,0,0,0,0,0,289.8
Derrick Henry,RB,BAL,,0,0,0,0,0,316.5,1478.9,13,21.4,210.4,1.2,28,0,0,0,0,0,0,0,273.7
Nico Collins,WR,HOU,,0,0,0,0,0,2.1,11.8,0.1,86.7,1212.1,6.7,137.2,0,0,0,0,0,0,0,249.5
Omarion Hampton,RB,LAC,,0,0,0,0,0,270.4,1152.9,9.8,55.9,392.9,1.9,69,0,0,0,0,0,0,0,278.7
Malik Nabers,WR,NYG,Q,0,0,0,0,0,4.5,23,0.1,89.9,1177.6,7.6,141.5,0,0,0,0,0,0,0,255.7
Trey McBride,TE,ARI,,0,0,0,0,0,0,0,0,111.9,1068.5,5.6,154.7,0,0,0,0,0,0,0,251.7
Josh Jacobs,RB,GB,,0,0,0,0,0,300.2,1237.4,13,36,281.2,1.6,47.2,0,0,0,0,0,0,0,273.5
Brock Bowers,TE,LV,,0,0,0,0,0,4.2,15.5,0.2,98.4,995.3,6.6,135.5,0,0,0,0,0,0,0,240.2
Chase Brown,RB,CIN,,0,0,0,0,0,239.9,1043.7,7.4,64.2,434.2,2.8,80.1,0,0,0,0,0,0,0,272
Chris Olave,WR,NO,,0,0,0,0,0,0,0,0,90.4,1162.2,6.4,142.3,0,0,0,0,0,0,0,244.7
Breece Hall,RB,NYJ,,0,0,0,0,0,264.4,1160.6,7.5,52,435.7,2.7,63.9,0,0,0,0,0,0,0,272.7
George Pickens,WR,DAL,,0,0,0,0,0,0,0,0,80.1,1116.4,8.2,124.5,0,0,0,0,0,0,0,239.6
A.J. Brown,WR,NE,,0,0,0,0,0,0,0,0,86.1,1215.9,6.9,129.8,0,0,0,0,0,0,0,248.5
Kenneth Walker III,RB,KC,,0,0,0,0,0,276.1,1233.5,8.9,48,373,1.6,59.8,0,0,0,0,0,0,0,271.1
Garrett Wilson,WR,NYJ,,0,0,0,0,0,2.2,10.8,0.1,103.4,1213.6,5.3,154.3,0,0,0,0,0,0,0,257.4
Tetairoa McMillan,WR,CAR,Q,0,0,0,0,0,0,0,0,82.8,1189.9,6.3,140.4,0,0,0,0,0,0,0,238.5
DeVonta Smith,WR,PHI,,0,0,0,0,0,0,0,0,90.4,1127.4,6,128,0,0,0,0,0,0,0,238.3
Javonte Williams,RB,DAL,,0,0,0,0,0,287.7,1257.4,11.1,37.1,218.7,1.5,50.9,0,0,0,0,0,0,0,259.2
Kyren Williams,RB,LAR,,0,0,0,0,0,250.5,1134.3,10.8,33.4,223.9,1.7,44.9,0,0,0,0,0,0,0,242
Travis Etienne Jr.,RB,NO,,0,0,0,0,0,257.9,1118.5,6,44.6,376.2,2.1,60.2,0,0,0,0,0,0,0,241.6
Zay Flowers,WR,BAL,,0,0,0,0,0,9.7,57.2,0.4,81.8,1172.4,5.5,116.7,0,0,0,0,0,0,0,238.8
Terry McLaurin,WR,WSH,,0,0,0,0,0,0,0,0,80.7,1043,5.8,118.7,0,0,0,0,0,0,0,219.3
Cam Skattebo,RB,NYG,Q,0,0,0,0,0,249.9,1049.5,7.2,49.3,362.5,1.6,60.7,0,0,0,0,0,0,0,241.9
Tee Higgins,WR,CIN,,0,0,0,0,0,0,0,0,73.1,954.7,8.3,114.5,0,0,0,0,0,0,0,218.2
Josh Allen,QB,BUF,,340.2,509,3945.3,26.2,11.6,116.4,579.5,12.4,0,0,0,0,0,0,0,0,0,0,0,369.1
Davante Adams,WR,LAR,,0,0,0,0,0,0,0,0,67.5,1016.5,10.7,123.6,0,0,0,0,0,0,0,232.9
Bucky Irving,RB,TB,Q,0,0,0,0,0,261.7,1062,5.9,38.8,313.6,1.9,48,0,0,0,0,0,0,0,222.1
Carnell Tate,WR,TEN,,0,0,0,0,0,0,0,0,78,1065.3,4.6,126.8,0,0,0,0,0,0,0,210.9
Colston Loveland,TE,CHI,,0,0,0,0,0,0,0,0,79.8,897.8,6.1,118.3,0,0,0,0,0,0,0,205.9
Quinshon Judkins,RB,CLE,Q,0,0,0,0,0,316.4,1239.7,7.2,31.9,221,0.7,41.5,0,0,0,0,0,0,0,225.1
Lamar Jackson,QB,BAL,,302.9,467.2,3884,25.8,9.8,122.1,670.1,3.7,0,0,0,0,0,0,0,0,0,0,0,321.6
Ladd McConkey,WR,LAC,,0,0,0,0,0,0,0,0,79.6,1032.5,6.2,122.2,0,0,0,0,0,0,0,219.9
Emeka Egbuka,WR,TB,,0,0,0,0,0,2.2,11.9,0.1,63.5,1027.7,6.9,117.4,0,0,0,0,0,0,0,209.5
Jaylen Waddle,WR,DEN,,0,0,0,0,0,2,12.1,0.1,76.8,991.3,6,118.7,0,0,0,0,0,0,0,213.1
