Rank,Name,Team,Position,Pass Comp/Att,Pass Yds,Pass TD,Pass INT,Rush Car,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Targets,Standard,Half PPR,PPR,Projected,Bye Week
1,Ja'Marr Chase,Cin,WR,0/0,0,0,0,4,20,0,117,1533,11,165,221.3,279.8,338.3,69.1,10
2,Bijan Robinson,Atl,RB,0/0,0,0,0,303,1422,12,62,490,7,99,305.2,336.2,367.2,67.2,5
3,Justin Jefferson,Min,WR,0/0,0,0,0,0,0,0,116,1458,11,176,211.8,269.8,327.8,60.2,6
4,Saquon Barkley,Phi,RB,0/0,0,0,0,332,1161,11,48,378,2,82,231.9,255.9,279.9,66,9
5,Jahmyr Gibbs,Det,RB,0/0,0,0,0,235,1161,15,58,535,3,62,277.6,306.6,335.6,64.3,8
6,CeeDee Lamb,Dal,WR,0/0,0,0,0,49,117,0,117,1437,8,170,203.4,261.9,320.4,59.6,10
7,Christian McCaffrey,SF,RB,0/0,0,0,0,256,1169,17,72,612,7,80,322.1,358.1,394.1,55.5,14
8,Puka Nacua,LAR,WR,0/0,0,0,0,13,177,0,96,1197,7,169,179.4,227.4,275.4,47.3,8
9,Malik Nabers,NYG,WR,0/0,0,0,0,3,10,0,117,1257,1,193,132.7,191.2,249.7,48.6,14
10,Amon-Ra St. Brown,Det,WR,0/0,0,0,0,10,101,1,117,1527,11,178,234.8,293.3,351.8,51,8
11,Derrick Henry,Bal,RB,0/0,0,0,0,326,1530,15,17,155,0,25,258.5,267,275.5,54.2,7
12,Ashton Jeanty,LV,RB,0/0,0,0,0,273,1248,15,63,482,2,83,331.7,306.5,338,51,8
13,Nico Collins,Hou,WR,0/0,0,0,0,0,0,0,98,1346,8,143,182.6,231.6,280.6,52.8,6
14,Brian Thomas Jr.,Jax,WR,0/0,0,0,0,0,0,0,91,1342,8,142,182.2,227.7,273.2,43.5,8
15,A.J. Brown,Phi,WR,0/0,0,0,0,0,0,0,91,1342,8,142,182.2,227.7,273.2,34.9,9
16,Drake London,Atl,WR,0/0,0,0,0,0,0,0,98,1203,8,154,168.3,217.3,266.3,39.1,5
17,Jonathan Taylor,Ind,RB,0/0,0,0,0,342,1577,11,33,253,1,95,255,271.5,288,42.2,11
18,De'Von Achane,Mia,RB,0/0,0,0,0,218,999,9,74,559,4,89,233.8,270.8,307.8,42.7,12
19,Josh Jacobs,GB,RB,0/0,0,0,0,301,1289,12,42,329,2,59,245.8,266.8,287.8,42.4,5
20,Brock Bowers,LV,TE,0/0,0,0,0,6,18,0,110,1154,6,149,153.2,208.2,263.2,35.5,8
21,Trey McBride,Ari,TE,0/0,0,0,0,0,0,0,116,1173,6,149,153.3,211.3,269.3,29,8
22,Kyren Williams,LAR,RB,0/0,0,0,0,313,1377,12,36,235,2,46,245.2,263.2,281.2,33.1,8
23,Bucky Irving,TB,RB,0/0,0,0,0,263,1235,12,53,410,3,65,254.5,281,307.5,39.2,9
24,Tee Higgins,Cin,WR,0/0,0,0,0,0,0,0,94,1154,9,141,169.4,216.4,263.4,24.5,10
25,Davante Adams,LAR,WR,0/0,0,0,0,0,0,0,85,1177,9,137,171.7,214.2,256.7,15.7,8
26,Tyreek Hill,Mia,WR,0/0,0,0,0,0,0,0,96,1202,6,140,156.2,204.2,252.2,19.9,12
27,Ladd McConkey,LAC,WR,0/0,0,0,0,0,0,0,96,1202,6,140,156.2,204.2,252.2,31.9,12
28,Josh Allen,Buf,QB,336/523,3966,27,11,114,582,11,0,0,0,0,368.84,368.84,368.84,29.6,7
29,Lamar Jackson,Bal,QB,310/468,3702,31,14,145,890,4,0,0,0,0,357.08,357.08,357.08,29.4,7
30,Jayden Daniels,Was,QB,369/556,4106,27,12,147,814,7,0,0,0,0,371.64,371.64,371.64,23.8,12
31,Jalen Hurts,Phi,QB,323/485,3703,22,10,151,682,14,0,0,0,0,368.32,368.32,368.32,19.2,9
32,Chase Brown,Cin,RB,0/0,0,0,0,256,1081,9,64,427,2,79,216.8,248.8,280.8,36,10
33,James Cook,Buf,RB,0/0,0,0,0,264,1232,12,37,284,2,45,235.6,254.1,272.6,24.4,7
34,Terry McLaurin,WA,WR,0/0,0,0,0,2,13,0,86,1152,7,129,158.5,201.5,244.5,15.8,12
35,Mike Evans,TB,WR,0/0,0,0,0,0,0,0,79,1017,9,121,155.7,195.2,234.7,19.3,9
36,Jaxon Smith-Njigba,Sea,WR,0/0,0,0,0,7,40,0,89,1069,9,160,164.9,209.4,253.9,22.6,8
37,Omarion Hampton,LAC,RB,0/0,0,0,0,255,1144,11,41,300,2,90,222.4,242.9,263.4,23,12
38,Chuba Hubbard,Car,RB,0/0,0,0,0,218,948,7,45,292,1,67,172,194.5,217,17.4,14
39,Joe Burrow,Cin,QB,431/627,4646,34,12,50,199,3,0,0,0,0,335.74,335.74,335.74,13.2,10
40,George Kittle,SF,TE,0/0,0,0,0,0,0,0,73,1105,7,105,152.5,189,225.5,23.7,14
41,James Conner,Ari,RB,0/0,0,0,0,232,1048,9,46,344,2,93,205.2,228.2,251.2,14.5,8
42,Alvin Kamara,NO,RB,0/0,0,0,0,216,916,6,71,575,2,94,197.1,232.6,268.1,15.9,11
43,TreVeyon Henderson,NE,RB,0/0,0,0,0,158,777,6,29,199,2,38,145.6,160.1,174.6,10.8,14
44,Kenneth Walker III,Sea,RB,0/0,0,0,0,255,1063,4,65,332,1,57,169.5,202,234.5,17.7,8
45,Breece Hall,NYJ,RB,0/0,0,0,0,228,1008,5,45,387,2,97,181.5,204,226.5,18.9,9
46,Xavier Worthy,KC,WR,0/0,0,0,0,20,77,0,111,1007,7,177,150.4,205.9,261.4,6.6,10
47,Marvin Harrison Jr.,Ari,WR,0/0,0,0,0,5,26,0,118,1344,7,191,179,238,297,17.3,8
48,Garrett Wilson,NYJ,WR,0/0,0,0,0,10,63,0,74,1073,7,147,155.6,192.6,229.6,18.7,9
49,Zay Flowers,Bal,WR,0/0,0,0,0,10,63,0,74,1073,7,147,155.6,192.6,229.6,7.7,7
50,DK Metcalf,Sea,WR,0/0,0,0,0,0,0,0,82,1180,7,137,160,201,242,10.8,8
51,Calvin Ridley,Ten,WR,0/0,0,0,0,0,0,0,70,1105,7,131,152.5,187.5,222.5,4.8,10
52,D'Andre Swift,Chi,RB,0/0,0,0,0,252,1036,7,37,294,1,48,181,199.5,218,7.2,5
53,Courtland Sutton,Den,WR,0/0,0,0,0,0,0,0,75,1018,9,125,155.8,193.3,230.8,7.8,12
54,DJ Moore,Chi,WR,0/0,0,0,0,0,0,0,75,838,5,94,113.8,151.3,188.8,8.4,5
55,Rashee Rice,KC,WR,0/0,0,0,0,1,0,0,75,838,5,99,113.8,151.3,188.8,9,10
56,Jameson Williams,Det,WR,0/0,0,0,0,10,74,0,66,1084,5,109,145.8,178.8,211.8,6.1,8
57,George Pickens,Pit,WR,0/0,0,0,0,2,12,0,71,1033,7,117,146.5,182,217.5,7.4,5
58,Rome Odunze,Chi,WR,0/0,0,0,0,2,13,0,72,1155,7,122,158.8,194.8,230.8,2.7,5
59,DeVonta Smith,Phi,WR,0/0,0,0,0,4,23,0,87,1087,6,131,147,190.5,234,9,9
60,Jaylen Waddle,Mia,WR,0/0,0,0,0,0,0,0,75,780,6,103,114,151.5,189,6.2,12
61,Sam LaPorta,Det,TE,0/0,0,0,0,0,0,0,90,1203,9,122,174.3,219.3,264.3,9,8
62,Patrick Mahomes,KC,QB,409/607,4368,30,12,73,369,3,0,0,0,0,325.62,325.62,325.62,7.1,10
63,Baker Mayfield,TB,QB,378/554,4162,33,14,62,320,2,0,0,0,0,314.48,314.48,314.48,4.3,9
64,Drake Maye,NE,QB,0/0,3639,23,13,76,543,2,0,0,0,0,277.86,277.86,277.86,1.4,14
65,Jerry Jeudy,Cle,WR,0/0,0,0,0,0,0,0,91,1216,4,144,145.6,191.1,236.6,2.4,9
66,Travis Hunter,Jax,WR,0/0,0,0,0,0,0,0,91,1216,4,144,145.6,191.1,236.6,5,8
67,David Montgomery,Det,RB,0/0,0,0,0,206,851,10,36,272,1,43,178.3,196.3,214.3,8.5,8
68,Tony Pollard,Ten,RB,0/0,0,0,0,229,988,5,45,293,1,60,164.1,186.6,209.1,7.5,10
69,T.J. Hockenson,Min,TE,0/0,0,0,0,0,0,0,82,810,4,119,105,146,187,5.3,6
70,Aaron Jones,Min,RB,0/0,0,0,0,180,796,4,52,390,3,67,160.6,186.6,212.6,5.7,6
71,Isiah Pacheco,KC,RB,0/0,0,0,0,209,885,7,46,297,2,74,172.2,195.2,218.2,7.7,10
72,RJ Harvey,Den,RB,0/0,0,0,183,814,5,46,353,2,62,,282.7,459.2,635.7,10.6,12
73,Matthew Golden,GB,WR,0/0,0,0,0,0,0,0,69,958,7,113,137.8,172.3,206.8,2.2,5
74,Chris Godwin,TB,WR,0/0,0,0,0,2,10,0,72,1156,6,97,152.6,188.6,224.6,3.5,9
75,Jakobi Meyers,LV,WR,0/0,0,0,0,2,12,0,88,986,5,126,129.8,173.8,217.8,2.3,8
76,Chris Olave,NO,WR,0/0,0,0,0,0,0,0,76,1077,6,123,143.7,181.7,219.7,3.1,11
77,Cooper Kupp,LAR,WR,0/0,0,0,0,2,13,0,77,923,5,115,123.6,162.1,200.6,1.9,8
78,Jordan Addison,Min,WR,0/0,0,0,0,2,10,0,62,773,6,101,114.3,145.3,176.3,2.1,6
79,Emeka Egbuka,TB,WR,0/0,0,0,4,28,0,59,791,3,92,,898.3,1293.8,1689.3,3.6,9
80,Tyrone Tracy Jr.,NYG,RB,0/0,0,0,0,218,949,6,39,297,2,63,172.6,192.1,211.6,3.6,14
81,Jacory Croskey-Merritt,Was,RB,0/0,0,0,0,181,745,7,25,179,1,32,140.4,152.9,165.4,4,12
82,Kaleb Johnson,Pit,RB,0/0,0,0,0,229,975,7,25,180,1,33,163.5,176,188.5,6.6,5
83,Mark Andrews,Bal,TE,0/0,0,0,0,0,0,0,61,657,7,92,107.7,138.2,168.7,4.2,7
84,Travis Kelce,KC,TE,0/0,0,0,0,0,0,0,75,727,5,103,102.7,140.2,177.7,5.6,10
85,David Njoku,Cle,TE,0/0,0,0,0,0,0,0,73,739,5,110,103.9,140.4,176.9,2.2,9
86,Evan Engram,Den,TE,0/0,0,0,0,0,0,0,80,717,3,108,89.7,129.7,169.7,2.5,12
87,Bo Nix,Den,QB,367/557,3966,27,12,45,418,4,0,0,0,0,308.44,308.44,308.44,4.3,12
88,Kyler Murray,Ari,QB,374/552,3865,25,12,90,597,5,0,0,0,0,320.3,320.3,320.3,2.3,8
89,Brock Purdy,SF,QB,366/544,4568,33,13,29,264,4,0,0,0,0,339.12,339.12,339.12,2.4,14
90,Joe Mixon,Hou,RB,0/0,0,0,0,192,814,3,42,265,2,62,137.9,158.9,179.9,8.2,6
91,Jaylen Warren,Pit,RB,0/0,0,0,0,160,709,4,56,407,2,74,147.6,175.6,203.6,2.7,5
92,Austin Ekeler,Was,RB,0/0,0,0,0,112,444,5,51,421,2,62,128.5,154,179.5,1.4,12
93,J.K. Dobbins,Den,RB,0/0,0,0,157,707,5,29,174,1,49,,154.6,241.6,328.6,2.5,12
94,Rhamondre Stevenson,NE,RB,0/0,0,0,0,186,776,4,29,199,2,38,133.5,148,162.5,1.5,14
95,Javonte Williams,Den,RB,0/0,0,0,0,162,642,6,36,240,1,47,130.2,148.2,166.2,1.7,12
